idx,company,Title,notes,tax3,tax2,tax1,Enterprise/Sector Type,city,Country,Continent: Asia,website,lat,lng
52,Anne Simpson,Managing Investment Director for Board Governance and Sustainability,CalPERS,Over 30,Female,Non-Profit,Government,"Sacramento, CA",USA,North America,https://www.linkedin.com/in/anne-simpson-a3024328/,38.581572,-121.4944
53,Annette Verschuren,CEO and Chair; Co-Chair,NRStor Inc.; Smart Prosperity,Over 30,Female,For-Profit,Energy/Environmental,Toronto,Canada,North America,https://www.linkedin.com/in/annette-verschuren-14659b52/ ,43.653226,-79.383184
54,Annie Leonard,Executive Director,Greenpeace USA,Over 30,Female,Non-Profit,NGO,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/annie-leonard-65a00333/,37.871523,-122.273042
55,Anthony Hobley,"Executive Director, Former CEO","Mission Possible Platform of World Economic Platform, Carbon Tracker Initiative",Over 30,Male,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/anthony-hobley/,51.507218,-0.127586
56,Antonio Nobre,Researcher,National Institute of Amazonian Research,Over 30,Male,Non-Profit,Government,São José dos Campos,Brazil,South America,https://believe.earth/en/antonio-nobre-a-scientist-advocates-for-the-amazon/,-23.21984,-45.891566
57,Xiangkun (Elvis) Cao,MIT Climate & Sustainability Consortium Impact Fellow,,Under 30,Male,Non-Profit,,"Boston, MA",USA,North America,https://www.linkedin.com/in/xiangkun-elvis-cao/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABGYeU4BBddA4zIpSXAcA2ZUelcqtO6kDd8,42.360082,-71.05888
58,Assaad Razzouk,Chief Executive Officer at Gurīn Energy,Gurīn Energy,Over 30,Male,For-Profit,Energy,Singapore,Singapore,Asia,https://www.linkedin.com/in/assaadrazzouk/,1.352083,103.819836
59,Audrey Lee,Co-Chair,Clean Energy for Biden,Over 30,Female,Non-Profit,NGO,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/jaudreylee/ ,37.77493,-122.419416
60,Ban Ki-Moon,8th Secretary General,United Nations,Over 30,Male,Non-Profit,Government,Seoul,South Korea,Asia,https://www.linkedin.com/in/bankimoon/,37.566535,126.977969
61,Barbara Buchner,Global Managing Director,Climate Policy Initiative,Over 30,Female,Non-Profit,Energy/Environmental,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/barbara-buchner-3baaa86/,37.77493,-122.419416
62,Barney Schauble,"Head of Labs, Chairman; Director and Chair",Nephila Climate; Ceres,Over 30,Male,For-Profit,Energy/Environmental,"Larkspur, CA",USA,North America,https://www.linkedin.com/in/bschauble/,37.934092,-122.535254
63,Bea Perez,Senior Vice President and Sustainability Officer,Coca-Cola Company,Over 30,Female,For-Profit,General,"Decatur, GA",USA,North America,https://www.linkedin.com/in/bea-perez-8225919/,33.774828,-84.296312
64,May Boeve,Executive Director,350.org,Under 30,Female,Non-Profit,NGO,"Brooklyn, NY",USA,North America,https://350.org/team/,40.678178,-73.944158
65,Bertha Zúñiga Cáceres,General Coordinator,Civic Council of Popular and Indigenous Organizations of Honduras ,Under 30,Female,Non-Profit,Activist,La Esperanza,Honduras,North America,https://www.equaltimes.org/environmentalists-in-honduras?lang=en#.YNzDR-hKhPZ,38.69367,-75.388038
66,Bertrand Piccard,Chairman,Solar Impulse Foundation,Over 30,Male,Non-Profit,NGO,Vaud,Switzerland,Europe,https://www.linkedin.com/in/bertrandpiccard/,46.561314,6.536765
67,Bill Davis,Founder & Managing Director,Stance Capital ,Over 30,Male,For-Profit,General,"Winchester, MA",USA,North America,https://www.linkedin.com/in/bill-davis-90a7b91/,42.452303,-71.136996
68,Bill Gates,Co-chair; Co-Founder,Bill and Melinda Gates Foundation; Microsoft,Over 30,Male,Non-Profit,NGO,"Seattle, WA",USA,North America,https://www.linkedin.com/in/williamhgates/,47.60621,-122.332071
