idx,company,Title,notes,tax3,tax2,tax1,Enterprise/Sector Type,city,Country,Continent: Asia,website,lat,lng
263,John Robinson,Joan L. Tweedy Chair in Conservation Strategy,Wildlife Conservation Society,Over 30,Male,Non-Profit,NGO,"Bronx, NY",USA,North America,https://www.linkedin.com/in/john-g-robinson-67593312/,40.844782,-73.864827
264,John Warner,Distinguished Research Fellow,Zymergen,Over 30,Male,For-Profit,Energy/Environmental,"Wilmington, MA",USA,North America,https://www.linkedin.com/in/john-warner-5681177/,42.548171,-71.172447
265,Jon Dee,Founder and Managing Director,DoSomething,Over 30,Male,Non-Profit,NGO,Sydney,Australia,Australia/Oceania,https://www.linkedin.com/in/jondee/,-33.86882,151.209296
266,Jonas C. Peters,"Director of Resnick Sustainability Institute, Bren Professor of Chemistry",Caltech,Over 30,Male,Non-Profit,University,"Pasadena, CA",USA,North America,https://www.cce.caltech.edu/people/jonas-c-peters,34.147785,-118.144516
267,Jonas de Schaepmeester,Program Manager Decarbonization,Umicore,Under 30,Male,For-Profit,Energy/Environmental,Ghent,Belgium,Europe,https://www.linkedin.com/in/jonas-de-schaepmeester-9b531377/?originalSubdomain=be,51.054342,3.717424
268,Jonathan Foley,Exec. Director,Project Drawdown,Over 30,Male,Non-Profit,NGO,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/jonathan-foley-182808b9/,37.77493,-122.419416
269,José Luis Blasco,Global Sustainability Director,Acciona,Over 30,Male,For-Profit,Energy/Environmental,Madrid,Spain,Europe,https://www.linkedin.com/in/joseluisblasco/,40.416775,-3.70379
270,Joseph DeSimone,Exec. Chairman and Co-founder,Carbon3d,Over 30,Male,For-Profit,Energy/Environmental,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/josephdesimone1/,37.77493,-122.419416
271,Jouni Keronen,Executive Director,Climate Leadership Council,Over 30,Male,Non-Profit,NGO,Porvoo,Finland,Europe,https://www.linkedin.com/in/jouni-keronen-98385514a/,60.393192,25.665274
272,Juan Jose Freijo,"Vice President, Global Head of Sustainability and EMEA Government Affairs",Brambles,Over 30,Male,For-Profit,General,Madrid,Spain,Europe,https://www.linkedin.com/in/j-j-freijo-42935410/,40.416775,-3.70379
273,Jules Kortenhorst,Chief Executive Officer,Rocky Mountain Institute,Over 30,Male,Non-Profit,NGO,"Boulder, CO",USA,North America,https://www.linkedin.com/in/juleskortenhorst/ ,40.014986,-105.270546
274,Juliana Gutiérrez,"Director, Co-Founder",Low Carbon City,Over 30,Female,Non-Profit,NGO,Medellin,Colombia,South America,https://www.linkedin.com/in/julianagutierrezr/?originalSubdomain=co https://fellows.echoinggreen.org/fellow/juliana-gutierrez/,6.247638,-75.565815
275,Juliet Davenport,Founder and CEO,Good Energy,Over 30,Female,For-Profit,Energy/Environmental,Swindon,United Kingdom,Europe,https://www.linkedin.com/in/juliet-davenport-643564/,51.555774,-1.779718
276,Julio Friedmann,"Senior Research Scholar, Lead of CaMRI Initiative",Columbia University,Over 30,Male,Non-Profit,University,"New York, NY",USA,North America,https://www.linkedin.com/in/julio-friedmann-86a83a44/,40.712775,-74.005973
277,Junko Edahiro,President,"Institute for Studies in Happiness, Economy and Society (ISHES)",Over 30,Female,Non-Profit,NGO,Tokyo,Japan,Asia,https://www.linkedin.com/in/junko-edahiro-98a57b162/?originalSubdomain=jp,35.676192,139.650311
278,Justin Adams,Executive Director,Tropical Forest Alliance,Over 30,Male,Non-Profit,NGO,Oxford,United Kingdom,Europe,https://www.linkedin.com/in/justin-adams-a074722/,51.754816,-1.254367
279,Jyoti Parikh,Executive Director,Integrated Research and Action for Development,Over 30,Female,Non-Profit,NGO,South Delhi,India,Asia,https://www.linkedin.com/in/jyoti-parikh-25b1707/,28.481655,77.187286
280,Kadri Simson,Commissioner for Energy,European Union,Over 30,Female,Non-Profit,Government,Estonia,Estonia,Europe,https://twitter.com/KadriSimson?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,58.595272,25.013607
281,Kaisa Hietala,Partner and Co-Owner,GAIA,Over 30,Female,For-Profit,Consulting,Helsinki,Finland,Europe,https://fi.linkedin.com/in/kaisa-hietala-9a936350,60.169856,24.938379
282,Kaisa Jungman,Director of Sustainable Business Development,Metso Outotec,Over 30,Female,For-Profit,General,Helsinki ,Finland,Europe,https://www.linkedin.com/in/kaisa-jungman-34a13b5/?originalSubdomain=fi,60.169856,24.938379
283,Kara Hurst,Head of Worldwide Sustainability,Amazon,Over 30,Female,For-Profit,General,"Seattle, WA",USA,North America,https://www.linkedin.com/in/karahartnetthurst/,47.60621,-122.332071
284,Karen Wayland,CEO,kW Energy Strategies,Over 30,Female,For-Profit,Energy/Environmental,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/karen-wayland-87228310/,38.907192,-77.036871
285,Karim El Aynaoui,President,Policy Center for the New South,Over 30,Male,Non-Profit,NGO,Rabat,Morocco,Africa,https://www.linkedin.com/company/policycenterns/people/,33.97159,-6.849813
286,Kate Brandt,Chief Sustainability Officer,Google,Over 30,Female,For-Profit,General,"Mountain View, CA",USA,North America,https://www.linkedin.com/in/katebrandt/,37.386052,-122.083851
287,Kate Gordon,Director,California Governor's Office of Planning and Research,Over 30,Female,Non-Profit,Government,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/kategordonconsulting/,37.871523,-122.273042
288,Kate Hampton,CEO,Children's Investment Fund Foundation (CIFF),Over 30,Female,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/kate-hampton-932b3035/,51.507218,-0.127586
289,Kate Heiny,Sustainability Director,Zalando SE,Over 30,Female,For-Profit,General/Clothing,Brussels,Belgium,Europe,https://www.linkedin.com/in/kateheiny/,50.85034,4.35171
290,Kate Marvel,Associate Research Scientist,NASA Goddard Institute for Space Studies at Columbia University,Over 30,Female,Non-Profit,Government,"New York, NY",USA,North America,http://www.marvelclimate.com/,40.712775,-74.005973
291,Kate Raworth,Author; Senior Research Associate; Professor of Practice,Doughnut Economics; Oxford University’s Environmental Change Institute; Amsterdam University of Applied Sciences,Over 30,Female,Non-Profit,University,Oxford,United Kingdom,Europe,https://www.kateraworth.com/about/,51.754816,-1.254367
292,Kate Williams,CEO,1% for the Planet,Over 30,Female,Non-Profit,NGO,"Burlington, VT",USA,North America,https://www.linkedin.com/in/katewilliams87/,44.475882,-73.212072
293,Katharine Hayhoe,Professor of Endowed Political Science and Director of Climate Center,Texas Tech University,Over 30,Female,Non-Profit,University,"Lubbock, TX",USA,North America,https://www.linkedin.com/in/katharine-hayhoe/,33.577863,-101.855166
294,Katharine Wilkinson,Co-Founder,The All We Can Save Project,Over 30,Female,Non-Profit,NGO,"Atlanta, GA",USA,North America,https://www.linkedin.com/in/katharine-k-wilkinson/,33.748995,-84.387982
295,Kathleen McLaughlin,Chief Sustainability Officer,Walmart,Over 30,Female,For-Profit,General,"Bentonville, AR",USA,North America,https://www.linkedin.com/in/kathleenforgood/,36.372854,-94.208817
296,Katrin Scholz-Barth,CEO and Founder Katrin Scholz-Barth consulting,Katrin Scholz-Barth consulting,Over 30,Female,For-Profit,Consulting,Doha,Qatar,Asia,https://www.linkedin.com/in/katrinscholzbarth/,25.285447,51.53104
297,Katrina Spade,Founder and CEO,Recompose,Over 30,Female,For-Profit,Energy/Environmental,"Seattle, WA",USA,North America,https://www.linkedin.com/in/katrina-spade-37047439/,47.60621,-122.332071
298,Kaushik Sridhar,Group Manager of Social Responsibility and ESG Reporting,Evolution Mining,Over 30,Male,For-Profit,General,Sydney,Australia,Australia/Oceania,https://www.linkedin.com/in/kaushiksridhar83/,-33.86882,151.209296
299,Kehua Hu,Director of Sustainability Stewardship,China National Textile and Apparel Council,Over 30,Male,Non-Profit,NGO,Beijing,China,Asia,https://www.linkedin.com/in/kehua-hu-6936a43a/?originalSubdomain=cn,39.9042,116.407396
300,Ken Berlin,President and CEO,The Climate Reality Project,Over 30,Male,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/kberlin/,38.907192,-77.036871
301,Kenneth Kimmell,Visiting Scholar/Former President,Northeastern University School of Public Policy and Urban Affairs/Union of Concerned Scientists,Over 30,Male,Non-Profit,University,"Boston, MA",USA,North America,"https://www.ucsusa.org/about/staff/staff/kenneth-kimmell.html
https://www.linkedin.com/in/ken-kimmell-b2046a12/ https://cssh.northeastern.edu/policyschool/new-sppua-visiting-fellow-ken-kimmell/",42.360082,-71.05888
302,Kevin Kampschroer,"Director, Office of Federal High-Performance Buildings",US General Services Administration,Over 30,Male,Non-Profit,"Government/Architecture, Design, Engineering","Washington, D.C.",USA,North America,https://www.linkedin.com/in/kevinkampschroer/ ,38.907192,-77.036871
303,Kevin Rabinovitch,"Global VP, Sustainability and Chief Climate Officer","Mars, Inc.",Over 30,Male,For-Profit,General,"Mclean, VA",USA,North America,https://www.linkedin.com/in/kevin-rabinovitch-4280735/,38.933868,-77.17726
304,Kim Thomassin,Executive Vice-President and Head of Investments in Québec and Stewardship Investing,CDPQ,Over 30,Female,For-Profit,Energy/Environmental,Montreal,Canada,North America,https://www.linkedin.com/in/kim-thomassin-794682/ ,45.501689,-73.567256
305,Klaus Lackner,Director of Center for Negative Carbon Emissions and professor at the School of Sustainable Engineering and the Built Environment of the Ira A. Fulton Schools of Engineering,Arizona State University,Over 30,Male,Non-Profit,University,"Tempe, AZ",USA,North America,https://cnce.engineering.asu.edu/klaus-lackner/,33.42551,-111.940005
306,Klaus Schwab,Founder and Executive Chairman,World Economic Forum,Over 30,Male,Non-Profit,NGO,Geneva,Switzerland,Europe,https://www.linkedin.com/in/klaus-schwab-80b285200/,46.204391,6.143158
307,Kotchakorn Voraakhom,Chairwoman of Climate Change Working Group,"International Federation of Landscape Architects, World",Over 30,Female,Non-Profit,NGO,Bangkok City,Thailand,Asia,https://www.linkedin.com/in/kotch-voraakhom/?originalSubdomain=th,32.799167,-96.779444
308,Kristal Ambrose,Founder,Bahamas Plastic Movement,Under 30,Female,Non-Profit,Energy/Environmental,Eleuthera,The Bahamas,North America,https://www.goldmanprize.org/recipient/kristal-ambrose/,24.931446,-76.189966
309,Kristina Kloberdanz,Chief Sustainability Officer,Mastercard,Over 30,Female,For-Profit,General,"New York, NY",USA,North America,https://www.linkedin.com/in/kristina-kloberdanz-1446491/,40.712775,-74.005973
310,Kudakwashe (Kuda) Ndhlukula,Executive Director at SADC Centre for Renewable Energy & Energy Efficiency (SACREEE),SACREEE,Over 30,Male,Non-profit,Energy/Sustainability,Harare,Zimbabwe,Africa,https://www.linkedin.com/in/kudakwashe-kuda-ndhlukula-72420317/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAANpYEwBu-pEk5gVbZM9OOgYA2lhW00TG5M,-17.821629,31.049226
311,Kushagra  Srivastava,CEO,Chakr Innovation,Under 30,Male,For-Profit,,Delhi,India,Asia,https://www.linkedin.com/in/kushagra-srivastava-b68b2787/,28.704059,77.10249
312,Larry Selzer,President and Chief Executive Officer,The Conservation Fund,Over 30,Male,Non-Profit,NGO,"Arlington, VA",USA,North America,"https://www.conservationfund.org/our-experts/larry-selzer
https://www.linkedin.com/in/larry-selzer-b243239/ ",38.881621,-77.090981
313,Laurence Tubiana,President and CEO,European Climate Foundation,Over 30,Female,Non-Profit,NGO,Paris,France,Europe,https://www.linkedin.com/in/laurence-tubiana-4381314/,48.856614,2.352222
314,Lee Ballin,Head of Business Development and Sustainability,Bloomberg NEF,Over 30,Male,For-Profit,General,"New York, NY",USA,North America,https://www.linkedin.com/in/lee-ballin-85aa2033/,40.712775,-74.005973
315,Leslie Alden,Co-Founder and Executive Director,DRAWDOWN Bay Area,Over 30,Female,Non-Profit,NGO,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/leslie-alden-a134aa11/,37.77493,-122.419416
316,Li Yong,Director General of the Industrial Development Organization,United Nations,Over 30,Male,Non-Profit,Government,Vienna ,Austria,Europe,https://www.unido.org/who-we-are-structure-director-general/biography,48.208174,16.373819
317,Lisa Boyd,Senior Director of Corporate Responsibility and Sustainability,Target,Over 30,Female,For-Profit,General,"Minneapolis, MN",USA,North America,https://www.linkedin.com/in/lmboyd/,44.977753,-93.265011
318,Lisa Colicchio,Director of Sustainability,Metrolink,Over 30,Female,For-Profit,General,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/lisacolicchio/,34.052234,-118.243685
319,Lisa Daniell,Director of Climate Change,Ministry for the Environment,Over 30,Female,Non-Profit,Government,Auckland,New Zealand,Australia/Oceania,https://www.linkedin.com/in/lisa-daniell-5b353421/,-36.850883,174.764488
320,Lisa Jackson,"Vice President of Environment, Policy and Social Initiatives",Apple,Over 30,Female,For-Profit,,"Cupertino, CA",USA,North America,https://www.apple.com/leadership/lisa-jackson/,37.322998,-122.032182
321,Lisa Sachs,Director,Columbia Center on Sustainable Investment,Over 30,Female,For-Profit,Energy/Environmental,"New York, NY",USA,North America,https://www.linkedin.com/in/lisa-sachs-849436113/,40.712775,-74.005973
322,Lisa Walker,CEO,Ecosphere+,Over 30,Female,For-Profit,Energy/Environmental,South Nutfield,United Kingdom,Europe,https://www.linkedin.com/in/lisa-walker-0286758/,51.239766,-0.125163
323,Lucas Joppa,Chief Environmental Officer,Microsoft,Over 30,Male,For-Profit,General,"Redmond, WA",USA,North America,https://www.linkedin.com/in/lucas-joppa/,47.673988,-122.121512
324,Luis Gonzalez,Director of Advocacy,Unidad Ecológica Salvadoreña,Over 30,Male,Non-Profit,Energy/Environmental,San Salvador,El Salvador,North America,https://diario.elmundo.sv/es-una-ley-que-privatiza-lo-que-ya-esta-de-hecho/?fbclid=IwAR0j1pOdcaKOjwUpbCjf7GlNuJGtMUUpYg4f4ZF4v1CoW5IMj6VtYqngn88,13.69294,-89.218191
325,Lynelle Preston Cameron,Vice President of Sustainability; CEO of Autodesk Foundation,Autodesk,Over 30,Female,For-Profit,General,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/lynelle-preston-cameron-2b11591/,37.77493,-122.419416
326,M. Sanjayan,Chief Executive Officer,Conservation International,Over 30,Male,Non-Profit,NGO,"Arlington, VA",USA,North America,"https://www.conservation.org/experts-list/m-sanjayan-phd 
https://www.linkedin.com/in/m-sanjayan-7a9593b4/ ",38.881621,-77.090981
327,Mafalda Duarte,CEO,Climate Investment Funds,Over 30,Female,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/mafaldaduarte1/ ,38.907192,-77.036871
328,Mahesh Ramanujam,President and CEO,US Green Building Council,Over 30,Male,Non-Profit,"NGO/Architecture, Design, Engineering","Washington, D.C.",USA,North America,https://www.linkedin.com/in/mahesh-ramanujam-a95a85a/,38.907192,-77.036871
329,Maja Göpel,Director of Research,The New Institute,Over 30,Female,Non-Profit,NGO,Berlin,Germany,Europe,https://twitter.com/beyond_ideology?lang=en,52.520007,13.404954
330,Majandra Rodriguez Acha,Co-founder,TierrActiva Peru,Under 30,Female,Non-Profit,Energy/Environmental,Lima,Peru,South America,https://www.unwomen.org/en/news/stories/2020/1/i-am-generation-equality-majandra-rodriguez-acha-youth-leader-climate-justice,-12.046373,-77.042754
331,Manuel Alonso-Martinez,Executive Director,Earth Team,Over 30,Male,Non-Profit,NGO,"El Sobrante, CA",USA,North America,https://www.linkedin.com/in/manuel-alonso-martinez-b14aa220/,37.977145,-122.295247
332,Manuel Pulgar-Vidal,Climate and Energy Global Practice Leader,WWF,Over 30,Male,Non-Profit,NGO,Lima,Peru,South America,https://www.linkedin.com/in/manuel-pulgar-vidal-68447b13/ ,-12.046373,-77.042754
333,Marcelo Furtado,Chief Sustainability Officer,ZScore,Over 30,Male,For-Profit,Energy/Environmental,Sao Paolo,Brazil,South America,https://www.linkedin.com/in/marcelo-furtado-49912861/en/?originalSubdomain=br,-23.555771,-46.639557
334,Marcelo Mena,"Former Environment Minister, Director","Climate Action Center at Pontificia Universidad Católica de Valparaíso, Chile Office of the Global Center on Adaptation",Over 30,Male,Non-Profit,Government,Santiago,Chile,South America,https://www.ted.com/speakers/marcelo_mena_carrasco,-33.44889,-70.669266
335,Margaret Kulow,Global Finance Practice Leader,WWF,Over 30,Female,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/margaretkuhlow/ ,38.907192,-77.036871
336,Sasha Calder,Head of Sustainability,Genomatica,Under 30,Female,For-Profit,Energy/Environmental,"San Diego, CA",USA,North America,https://www.linkedin.com/in/sashacalder/,32.715738,-117.161084
337,Maria de los Angeles Carvajal,Founder,"SuMar, Choices for Nature",Over 30,Female,Non-Profit,Conservation,Guaymas,Mexico,North America,https://www.sustainabilityleadersnetwork.org/fellows/maria-carvajal/,27.917865,-110.908938
338,María Mendiluce,CEO,We Mean Business Coalition,Over 30,Female,Non-Profit,NGO,Geneva,Switzerland,Europe,https://www.linkedin.com/in/mariamendiluce/,46.204391,6.143158
339,Marianna Grossman,Founder and Managing Partner,Minerva Ventures,Over 30,Female,For-Profit,Energy/Environmental,"Portland, OR",USA,North America,https://www.linkedin.com/in/mariannagrossman/,45.515232,-122.678385
340,Marie-Noëlle Keijzer,Co-Founder and CEO,WeForest,Over 30,Female,Non-Profit,NGO,Antwerp,Belgium,Europe,https://www.linkedin.com/in/marie-no%C3%ABlle-keijzer-68089a2/,51.219448,4.402464
341,Marie-Sylvie  Bertail,General directrice of Greenflex,Greenflex,Over 30,Female,For-Profit,,Paris,France,Europe,https://www.linkedin.com/in/marie-sylvie-bertail/,48.856614,2.352222
342,Marilyn Johnson,Senior Director of Global Sustainability,Clarivate,Over 30,Female,For-Profit,General,"Seattle, WA",USA,North America,https://www.linkedin.com/in/marilynajohnson/,47.60621,-122.332071
343,Marisa Buchanan,"Managing Director, Head of Sustainability",JP Morgan Chase & Co.,Over 30,Female,For-Profit,General,"New York, NY",USA,North America,https://www.linkedin.com/in/marisa-buchanan-2b10206/,40.712775,-74.005973
344,Mark Campanale,Founder and Executive Director,Carbon Tracker,Over 30,Male,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/mark-campanale-1886203/,51.507218,-0.127586
345,Mark Rose,Chief Executive Officer,Fauna and Flora International,Over 30,Male,Non-Profit,NGO,"Pembroke Street, Cambridge",United Kingdom,Europe,"https://www.fauna-flora.org/people#:~:text=Mark%20has%20held%20the%20role,projects%20in%20over%2040%20countries.",52.202362,0.119329
346,Mark Swilling,Professor,Stellenbosch University,Over 30,Male,Non-Profit,University,Cape Town,South Africa,Africa,https://www.linkedin.com/in/mark-swilling-31b7426/,-33.924868,18.424055
347,Mark Tercek,"Chief Instigator, Former President and CEO","The Instigator, The Nature Conservancy",Over 30,Male,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/marktercek/ ,38.907192,-77.036871
348,Martha Hall Findlay,Chief Sustainability Officer,Suncor,Over 30,Female,For-Profit,General,Calgary,Canada,North America,https://www.linkedin.com/in/marthahallfindlay/?originalSubdomain=ca,51.044733,-114.071883
349,Martin Visbeck,Head of Research,GeoMar,Over 30,Male,For-Profit,Energy/Environmental,Kiel,Germany,Europe,https://www.linkedin.com/in/martin-visbeck-6b5b936b/,54.323293,10.122765
350,Martyn Forde,"CARILEC Renewable Energy (CAREC) Community Manager, Energy Leadership Consultant",Rocky Mountain Institute,Over 30,Male,Non-Profit,NGO,Toronto,Canada,North America,https://www.linkedin.com/in/mhdbf/  ,43.653226,-79.383184
351,Mary egbo,CEO,Mathesis Consulting,Over 30,Female,For-Profit,Energy Events,London,United Kingdom,Europe,https://www.linkedin.com/in/mary-egbo-5755132b/,51.507218,-0.127586
352,Mary Wenzel,EVP and Head of Sustainability and ESG Integration,Wells Fargo,Over 30,Female,For-Profit,General,"Denver, CO",USA,North America,https://www.linkedin.com/in/mary-wenzel-78505815/,39.739236,-104.990251
353,Mary Wroten,Director of Global Sustainability,Ford Motor Company,Over 30,Female,For-Profit,General,"Dexter, MI",USA,North America,https://www.linkedin.com/in/mary-a-wroten-34a3459/,42.33837,-83.888555
354,Massimiano Tellini,Global Head of Circular Economy,Intesa Sanpaolo Innovation Center,Over 30,Male,For-Profit,Energy/Environmental,Milan,Italy,Europe,https://www.linkedin.com/in/massimianotellini/,45.464204,9.189982
355,Matt St. Clair,Director of Sustainability,University of California - Office of the President,Over 30,Male,Non-Profit,University,"Oakland, CA",USA,North America,https://www.linkedin.com/in/matt-st-clair-e-mail-6186b0/,37.804351,-122.271164
356,Mattias Goldmann,Chief Sustainability Officer,Sweco,Over 30,Male,For-Profit,"Architecture, Design, Engineering",Stockholm,Sweden,Europe,https://www.linkedin.com/in/mattiasgoldmann/,59.329324,18.068581
357,Maureen Damen,Founder ,Rise Up Senegal,Under 30,Female,Non-Profit,Activist,Dakar,Senegal,Africa,http://bsciclimate.org/african-climate-activist-rise/,14.716677,-17.467686
358,Mauricio Graber,Chief Executive Officer,Chr. Hansen Holdings A/S,Over 30,Male,For-Profit,General,Copenhagen,Denmark,Europe,https://www.linkedin.com/in/mauricio-graber/,55.676097,12.568337
359,Apoorv Bhargava,CEO and Co-Founder,Weave Grid,Under 30,Male,For-Profit,Energy/Environmental,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/apoorv-bhargava/,37.77493,-122.419416
360,Megan  Euston-Brown,Director at Sustainable Energy Africa,Director at Sustainable Energy Africa,Over 30,Female,Non-Profit,Energy,Cape Town,South Africa,Africa,https://www.irena.org/directorgeneral/biography,-33.924868,18.424055
361,Meghan Zahniser,Executive Director,AASHE,Over 30,Female,Non-Profit,Energy/Environmental,"Philadelphia, PA",USA,North America,linkedin.com/in/meghan-fay-zahniser-5616087,39.952584,-75.165222
362,Meghna Tare,Chief Sustainability Officer,University of Texas - Arlington,Over 30,Female,Non-Profit,University,"Dallas, TX",USA,North America,https://www.linkedin.com/in/meghnatare/,32.776664,-96.796988
363,Melanie Kenderdine,President,Energy Futures Initiative,Over 30,Female,Non-Profit,Energy/Environmental,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/melanie-kenderdine-b13bb7bb/,38.907192,-77.036871
364,Melati Wijsen,Co-founder,Bye Bye Plastic Bags,Under 30,Female,Non-profit,NGO,Bali,Indonesia,Asia,https://www.linkedin.com/in/melati-wijsen-282057187/?originalSubdomain=id https://www.weforum.org/people/melati-wijsen,-8.340539,115.091951
365,Meredith Adler,Executive Director,Student Energy,Under 30,Female,Non-Profit,NGO,Vancouver,Canada,North America,https://www.linkedin.com/in/meredithadler/ ,49.282729,-123.120738
366,Merran Smith,Executive Director,Clean Energy Canada,Over 30,Female,Non-Profit,NGO,Victoria,Canada,North America,https://www.linkedin.com/in/merran-smith-64603b63/ ,28.805267,-97.003598
367,Michael Brune,Executive Director,Sierra Club,Over 30,Male,Non-Profit,NGO,"Oakland, CA",USA,North America,"https://www.sierraclub.org/about/executive-team
https://www.linkedin.com/in/michael-brune-6805421b/",37.804351,-122.271164
368,Michael Dorsey,Full Member,Club of Rome,Over 30,Male,Non-Profit,Energy/Environmental,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/profmkd/,38.907192,-77.036871
369,Michael Gerrard,Professor,Columbia University Law School,Over 30,Male,Non-Profit,University,"New York, NY",USA,North America,https://www.linkedin.com/in/michael-gerrard-534262131/,40.712775,-74.005973
370,Michael Okoroafor,VP of Global Sustainability and Packaging Innovation,McCormick & Company,Over 30,Male,For-Profit,General,"Hunt Valley, MD",USA,North America,https://www.linkedin.com/in/michael-okoroafor-ph-d-5a07b9a9/,39.490001,-76.658507
371,Michael Otto,Chairman of the Supervisory Board,The Otto Group,Over 30,Male,For-Profit,Retail/Clothing/other,Hamburg,Germany,Europe,https://www.clubofrome.org/member/otto-michael/,53.551085,9.993682
372,Michael Rucker,CEO and Founder,Scout Clean Energy,Over 30,Male,For-Profit,Energy/Environmental,"Boulder, CO",USA,North America,https://www.linkedin.com/in/michaelwrucker/,40.014986,-105.270546
373,Michael Shellenberger,President; Former President,Environmental Progress; The Breakthrough Institute,Over 30,Male,Non-Profit,NGO,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/michael-shellenberger-019631a8/ ,37.871523,-122.273042
374,Michael Terrell,Head of Energy Market Strategy,Google,Over 30,Male,For-Profit,General,"Mountain View, CA",USA,North America,https://www.linkedin.com/in/michael-terrell/,37.386052,-122.083851
375,Michel Gelobter,Managing Director,Reflective Earth,Over 30,Male,Non-Profit,NGO,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/gelobter/,37.871523,-122.273042
376,Michelle Wyman,Executive Director,Global Council for Science and the Environment,Over 30,Female,Non-Profit,Energy/Environmental,"Washington, D.C.",USA,North America,linkedin.com/in/miwyman,38.907192,-77.036871
377,Mike Fraser,VP of Global Sustainability Services,Schneider Electric,Over 30,Male,For-Profit,Energy/Environmental,"Louisville, KY",USA,North America,https://www.linkedin.com/in/mnfraser/,38.252665,-85.758456
378,Mindy Lubber,President and Chief Executive Officer,Ceres,Over 30,Female,Non-Profit,NGO,"Boston, MA",USA,North America,https://www.linkedin.com/in/mindy-lubber-b113962/ ,42.360082,-71.05888
379,Minister XIE Zhenhua,Special Envoy on Climate Change,China,Over 30,Male,Non-Profit,Government,Beijing,China,Asia,https://cciced.eco/about/composition/executive-committee/xie-zhenhua/,39.9042,116.407396
380,Goksenin Ozturkeri,Vice President,CohnReznick Capital,Under 30,Male,For-Profit,Energy/Environmental,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/gozturkeri/,37.77493,-122.419416
381,Mitch Jackson,Chief Sustainability Officer,FedEx Corporation,Over 30,Male,For-Profit,General,"Memphis, TN",USA,North America,https://www.linkedin.com/in/mitch-jackson-1a349814/,35.149534,-90.04898
382,Mitchell Bernard,Chief Counsel and Interim President,NRDC,Over 30,Male,Non-Profit,Government,"New York, NY",USA,North America,https://www.nrdc.org/experts/mitchell-bernard,40.712775,-74.005973
383,Mona Benisi,Global Head of Sustainability Real Assets,Morgan Stanley,Over 30,Female,For-Profit,General,"New York, NY",USA,North America,https://www.linkedin.com/in/mona-benisi-64b00b68/,40.712775,-74.005973
384,Monica Scatasta,"Director, Former Head of Division, Climate, Environment, and Social Policy","Council of Europe Development Bank, European Investment Bank",Over 30,Female,Non-Profit,Government,Luxembourg,Luxembourg,Europe,https://www.linkedin.com/in/monica-scatasta-b66089a/,49.815273,6.129583
385,Monique Oxender,Chief Sustainability Officer,Keurig Dr. Pepper,Over 30,Female,For-Profit,General,"Burlington, MA",USA,North America,https://www.linkedin.com/in/moniqueoxender/,42.504716,-71.19562
386,Moon Jae-in,President,South Korea,Over 30,Male,Non-Profit,Government,Seoul,South Korea,Asia,https://www.reuters.com/article/us-southkora-environment-greenewdeal/south-koreas-moon-targets-carbon-neutrality-by-2050-idUSKBN27D1DU,37.566535,126.977969
387,Musonda Mumba,Chief of Terrestrial Ecosystems Unit,United Nations Environment Programme,Over 30,Female,Non-Profit,Government,Nairobi,Kenya,Africa,https://www.linkedin.com/in/dr-musonda-mumba-aa09611/ ,-1.292066,36.821946
388,Myriam Coneim,Director of Sustainability,American Express,Over 30,Female,For-Profit,General,"New York, NY",USA,North America,https://www.linkedin.com/in/myriamconeim/?locale=en_US,40.712775,-74.005973
389,Nancy Pfund,Founder and Managing Partner,DBL Ventures,Over 30,Female,For-Profit,General,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/nancy-pfund-30b6ab13/,37.77493,-122.419416
390,Nancy Vandycke,Program Manager,Sustainable Mobility for All,Over 30,Female,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/nancy-vandycke/ ,38.907192,-77.036871
391,Naoko Ishii,Former CEO,Global Environment Facility,Over 30,Female,Non-Profit,NGO,Tokyo,Japan,Asia,https://www.thegef.org/people/naoko-ishii,35.676192,139.650311
