idx,Last Name(s),company,Title (as a thought leader),notes,City/State,Country,city,website,lat,lng,tax1,tax2,tax3
224,Kauk,Stacy Kauk,Director of Sustainability Fund,Shopify,Ontario,Canada,"Ontario, Canada",https://www.linkedin.com/in/stacy-kauk-p-eng/,51.253775,-85.323214,Leader,Leader,Leader
225,Keijzer,Marie-Noëlle Keijzer,Co-Founder and Chief Executive Officer,WeForest,Antwerp,Belgium,"Antwerp, Belgium",https://www.linkedin.com/in/marie-no%C3%ABlle-keijzer-68089a2/,51.22134,4.405148,Leader,Leader,Leader
226,Kenderdine,Melanie Kenderdine,President,Energy Futures Initiative,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/melanie-kenderdine-b13bb7bb/,38.907192,-77.036871,Leader,Leader,Leader
227,Kennedy,Danny Kennedy,Chief Energy Officer,New Energy Nexus,"Oakland, CA",USA,"Oakland, CA, USA",https://www.linkedin.com/in/kennedydanny/ ,37.804351,-122.271164,Leader,Leader,Leader
228,Keronen,Jouni Keronen,Executive Director,Climate Leadership Council,Porvoo,Finland,"Porvoo, Finland",https://www.linkedin.com/in/jouni-keronen-98385514a/,60.393192,25.665274,Leader,Leader,Leader
229,Kerry,John Kerry,Special Presidential Envoy for Climate,US Department of State,"Boston, MA",USA,"Boston, MA, USA",https://www.state.gov/biographies/john-kerry/,42.360082,-71.05888,Leader,Leader,Leader
230,Khan,Tessa Khan,Director,Uplift,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/tessa-khan-a42b6a48/?originalSubdomain=uk,51.507218,-0.127586,Leader,Leader,Leader
231,Khanh,Ngụy Thị Khanh,Executive,Green Innovation and Development Centre,Hanoi,Vietnam,"Hanoi, Vietnam",https://www.linkedin.com/in/nguy-khanh-12b806131/,21.027764,105.83416,Leader,Leader,Leader
232,Ki-Moon,Ban Ki-Moon,Former Secretary-General of the United Nations (8th),United Nations,Seoul,South Korea,"Seoul, South Korea",https://www.linkedin.com/in/bankimoon/,37.566535,126.977969,Leader,Leader,Leader
233,Kidney,Sean Kidney,Chief Executive Officer,Climate Bonds Initiative,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/seankidney/,51.507218,-0.127586,Leader,Leader,Leader
234,Kimmell,Kenneth Kimmell,Visiting Scholar/Former President,Northeastern University School of Public Policy and Urban Affairs/Union of Concerned Scientists,"Boston, MA",USA,"Boston, MA, USA",https://www.linkedin.com/in/ken-kimmell-b2046a12/,42.360082,-71.05888,Leader,Leader,Leader
235,Kind,Sebastian Kind,Chairman of the Board,GREENMAP,Brussels,Belgium,"Brussels, Belgium",https://www.linkedin.com/in/sebastiankind/?originalSubdomain=ar,50.847642,4.35717,Leader,Leader,Leader
236,Kliem,John Kliem,Director of Federal Energy Strategy; Former Executive Director of Resilient Energy Program Office,Johnson Controls; US Navy,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/johnkliem/,38.907192,-77.036871,Leader,Leader,Leader
237,Kloberdanz,Kristina Kloberdanz,Chief Sustainability Officer,Mastercard,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/kristina-kloberdanz-1446491/,40.712775,-74.005973,Leader,Leader,Leader
238,Kocher,Isabella Kocher,Former Chief Executive Officer,Engie,Paris,France,"Paris, France",https://www.linkedin.com/in/isabellekocher/,48.856614,2.352222,Leader,Leader,Leader
239,Komiyama,Hiroshi Komiyama,Chairman,Platinum Society Network,Tokyo,Japan,"Tokyo, Japan",https://www.linkedin.com/pulse/capitalism-coming-age-story-daisuke-tsuchiya/,35.676192,139.650311,Leader,Leader,Leader
240,Kortenhorst,Jules Kortenhorst,Chief Executive Officer,Rocky Mountain Institute (RMI),"Boulder, CO",USA,"Boulder, CO, USA",https://www.linkedin.com/in/juleskortenhorst/ ,40.014986,-105.270546,Leader,Leader,Leader
241,Kositratna,Nisakorn Kositratna,Vice Chairman,Thailand Environment Institute,Nonthaburi,Thailand,"Nonthaburi, Thailand",http://www.tei.or.th/th/executive.php,13.859108,100.521651,Leader,Leader,Leader
242,Kroll,Christian Kroll,Founder,Ecosia,Berlin,Germany,"Berlin, Germany",https://www.linkedin.com/in/christian-kroll-b2aa06b/,52.520007,13.404954,Leader,Leader,Leader
243,Krupp,Fred Krupp,President,Environmental Defense Fund,"New York, NY",USA,"New York, NY, USA","https://www.edf.org/people/fred-krupp
https://www.linkedin.com/in/fred-krupp-66310510a/",40.712775,-74.005973,Leader,Leader,Leader
244,Krut,Riva Krut,Former Vice President and Chief Sustainability Officer (retired); Board member and Chair of Sustainability & Innovation Committee,Linde; The Metals Company,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/riva-krut-37377722/,40.712775,-74.005973,Leader,Leader,Leader
245,Kuenkel,Petra Kuenkel,Executive Director,Collective Leadership Institute,Berlin,Germany,"Berlin, Germany",https://www.linkedin.com/in/petra-kuenkel/,52.520007,13.404954,Leader,Leader,Leader
246,Kumar ,Emani Kumar,Chairman,Green growth Asia foundation,South Delhi,India,"South Delhi, India",https://www.linkedin.com/in/emani-kumar-93972616/?originalSubdomain=in,28.481655,77.187286,Leader,Leader,Leader
247,Kyte,Rachel Kyte,Dean; Former Chief Executive Officer,The Fletcher School at Tufts University; Sustainable Energy for All,"Medford, MA",USA,"Medford, MA, USA",https://www.linkedin.com/in/rachelkyte/,42.41843,-71.106164,Leader,Leader,Leader
248,La Camera,Francesco La Camera,Director-General,International Renewable Energy Agency (IRENA),Abu Dhabi,UAE,"Abu Dhabi, UAE",https://twitter.com/flacamera,24.453884,54.377344,Leader,Leader,Leader
249,Laasme-McQuilkin,Haly Laasme-McQuilkin,US Northeast Regional Representative Board of Directors; Governance Board of Directors,National Energy Assistance Director’s Association (NEADA); National Energy and Utility Affordability Coalition (NEUAC),"Dover, DE",USA,"Dover, DE, USA",https://www.linkedin.com/in/h%C3%A4ly-laasme-4415454/,39.158168,-75.524368,Leader,Leader,Leader
250,Lackner,Klaus Lackner,Director of the Center for Negative Carbon Emissions,Arizona State University,"Tempe, AZ",USA,"Tempe, AZ, USA",https://www.linkedin.com/in/klaus-lackner/,33.42551,-111.940005,Leader,Leader,Leader
251,Lacy,Rodolfo Lacy,Environmental Directorate,OECD,Paris,France,"Paris, France",https://www.linkedin.com/in/rodolfo-lacy-306b8bb2/,48.856614,2.352222,Leader,Leader,Leader
252,Lalich,Jeff Lalich,EHS for Global Service Center Operations,Rivian,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/jefflalich/,37.77493,-122.419416,Leader,Leader,Leader
253,Landahl,Gustaf Landahl,Head of Department,City of Stockholm,Stockholm,Sweden,"Stockholm, Sweden",https://se.linkedin.com/in/gustaf-landahl-54132919,59.329324,18.068581,Leader,Leader,Leader
254,Landell-Mills,Natasha Landell-Mills,Head of Stewardship,Sarasin & Partners,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/natasha-landell-mills-cfa-05115935/,51.507218,-0.127586,Leader,Leader,Leader
255,Langworth,Anders Langworth,Founder,Bankers for Climate,Stockholm,Sweden,"Stockholm, Sweden",https://www.linkedin.com/in/anders-langworth-725422a/,59.329324,18.068581,Leader,Leader,Leader
256,Lanshina,Tatiana Lanshina,Former Chairperson,ReGeneration 2030,Moscow,Russia,"Moscow, Russia",https://www.linkedin.com/in/tatiana-lanshina-44bb2b61/?originalSubdomain=ru,55.755826,37.6173,Leader,Leader,Leader
257,Lao,Janice Lao,ESG Director,Helen of Troy,"El Paso, TX",USA,"El Paso, TX, USA",https://www.linkedin.com/in/janiceillao/,31.761878,-106.485022,Leader,Leader,Leader
258,Lee,Audrey Lee,Co-Chair,Clean Energy for Biden,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/jaudreylee/ ,37.77493,-122.419416,Leader,Leader,Leader
259,Lee,Hoesung Lee,Chair of IPCC,Intergovernmental Panel on Climate Change,Seoul,South Korea,"Seoul, South Korea",https://www.linkedin.com/in/hoesung-lee-68792892/?originalSubdomain=kr,37.566535,126.977969,Leader,Leader,Leader
260,Leibowitz,Sandra Leibowitz,Founder and Owner,Sustainable Design Consulting,"Alexandria, VA",USA,"Alexandria, VA, USA",https://www.linkedin.com/in/sandra-leibowitz-6504b55/,38.804836,-77.046921,Leader,Leader,Leader
261,Leonard,Annie Leonard,Executive Director,Greenpeace USA,"Berkeley, CA",USA,"Berkeley, CA, USA",https://www.linkedin.com/in/annie-leonard-65a00333/,37.871523,-122.273042,Leader,Leader,Leader
262,Lever,Andrew Lever,Director of Policy and Innovation,Carbon Trust,Edinburgh,United Kingdom,"Edinburgh, United Kingdom",https://www.linkedin.com/in/andrew-lever-1a551a/,55.953252,-3.188267,Leader,Leader,Leader
263,Lim,Theresa Mundita Lim,Executive Director,Association of Southeast Asian Nations (ASEAN) Center for Biodiversity,Los Banos,Philippines,"Los Banos, Philippines",https://www.linkedin.com/in/theresa-mundita-lim-7322b321/?originalSubdomain=ph,37.058279,-120.849915,Leader,Leader,Leader
264,Lindsay,Donald Lindsay,Chief Executive Officer,Teck Resources,Vancouver,Canada,"Vancouver, Canada",https://www.linkedin.com/in/don-lindsay-01136926/?originalSubdomain=ca,49.282729,-123.120738,Leader,Leader,Leader
265,Lippert,Dawn Lippert,Chief Executive Officer,Elemental Excelerator,"Honolulu, Hawaii",USA,"Honolulu, Hawaii, USA",https://www.linkedin.com/in/dawnlippert/,21.306944,-157.858333,Leader,Leader,Leader
266,Liswani,Hilda Liswani,Founder and Chief Executive Officer,WeBloom,Zurich,Switzerland,"Zurich, Switzerland",https://www.linkedin.com/in/hilda-n-liswani-7952218a/,47.376887,8.541694,Leader,Leader,Leader
267,Logan-Riley,India Logan-Riley,Climate Activist,,Auckland,New Zealand,"Auckland, New Zealand",https://twitter.com/indimiro?lang=en,-36.850883,174.764488,Leader,Leader,Leader
268,Lores,Enrique Lores,Chief Executive Officer,Hewlett-Packard,"Los Altos, CA",USA,"Los Altos, CA, USA",https://www.linkedin.com/in/enriquelores/,37.385218,-122.11413,Leader,Leader,Leader
269,Lovins,Amory Lovins,Co-Founder and Chairman Emeritus,Rocky Mountain Institute (RMI),"Basalt, CO",USA,"Basalt, CO, USA",https://rmi.org/people/amory-lovins/,39.372481,-107.078501,Leader,Leader,Leader
270,Lovins,Hunter Lovins,President,Natural Capitalism Solutions,"Denver, CO",USA,"Denver, CO, USA",https://www.linkedin.com/in/hunterlovins/ ,39.739236,-104.990251,Leader,Leader,Leader
271,Lubber,Mindy Lubber,President and Chief Executive Officer,Ceres,"Boston, MA",USA,"Boston, MA, USA",https://www.linkedin.com/in/mindy-lubber-b113962/ ,42.360082,-71.05888,Leader,Leader,Leader
272,Lubchenco,Jane Lubchenco,Professor,Environmental (Marine) Sciences at Oregon State University,"Corvallis, OR",USA,"Corvallis, OR, USA",https://www.linkedin.com/in/jane-lubchenco-7794a2207/,44.564566,-123.262044,Leader,Leader,Leader
273,Mack,Clair Mack,Chief Executive,Scottish Renewables,Glasgow,United Kingdom,"Glasgow, United Kingdom",https://www.linkedin.com/in/claire-mack-50a93814/,55.864237,-4.251806,Leader,Leader,Leader
274,Mackie,Erica Mackie,Co-Founder and Chief Executive Officer,GRID Alternatives,"Oakland, CA",USA,"Oakland, CA, USA",https://www.linkedin.com/in/erica-mackie-9487539/ ,37.804351,-122.271164,Leader,Leader,Leader
275,Maclay,Bill Maclay,Founder and Principal,Maclay Architects,"Waitsfield, VT",USA,"Waitsfield, VT, USA",https://www.linkedin.com/in/bill-maclay-a89b352/,44.192639,-72.779848,Leader,Leader,Leader
276,MacNaughton,Joan MacNaughton,Executive Chair of the World Energy Trilemma,World Energy Council,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/joanmacnaughton/,51.507218,-0.127586,Leader,Leader,Leader
277,Makichyan,Arshak Makichyan,Climate Activist,,Moscow,Russia,"Moscow, Russia",https://twitter.com/MakichyanA?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,55.755826,37.6173,Leader,Leader,Leader
278,Marcario,Rose Marcario,Former Chief Executive Officer,Patagonia,"Los Angeles, CA",USA,"Los Angeles, CA, USA",https://www.linkedin.com/in/rose-marcario-06703716/,34.052234,-118.243685,Leader,Leader,Leader
279,Marquez,Francia Marquez,2018 Goldman Prize Recipient,Goldman Environmental Prize,Cali,Colombia,"Cali, Colombia",https://twitter.com/franciamarquezm?lang=en,3.451647,-76.531985,Leader,Leader,Leader
280,Martinez Lozada,Esteban Martinez Lozada,Sustainability Director,Green Loop,Bogotá,Colombia,"Bogotá, Colombia",https://www.linkedin.com/in/emartinezl/?locale=es_ES,4.710989,-74.072092,Leader,Leader,Leader
281,Marvel,Kate Marvel,Associate Research Scientist,NASA Goddard Institute for Space Studies (NASA GISS),"New York, NY",USA,"New York, NY, USA",https://twitter.com/drkatemarvel?lang=en,40.712775,-74.005973,Leader,Leader,Leader
282,Matee,Nzambi Matee,Founder,Gjenge Makers,Nairobi,Kenya,"Nairobi, Kenya",https://www.linkedin.com/in/nzambi-matee-gjenge2017/?originalSubdomain=ke,-1.292066,36.821946,Leader,Leader,Leader
283,Mathai,Wanjira Mathai,Vice President and Regional Director,World Resources Institute (WRI),Nairobi,Kenya,"Nairobi, Kenya",https://twitter.com/mathaiwanjira?lang=en,-1.292066,36.821946,Leader,Leader,Leader
284,Mathur,Ajay Mathur,Director General,International Solar Alliance,New Delhi,India,"New Delhi, India",https://www.linkedin.com/in/international-solar-alliance/,28.613939,77.209021,Leader,Leader,Leader
285,Mazria,Ed Mazria,Chief Executive Officer,Architecture 2030,"Sante Fe, NM",USA,"Sante Fe, NM, USA",https://www.linkedin.com/in/edward-mazria-5b0117129/ ,35.686975,-105.937799,Leader,Leader,Leader
286,Mazzacurati,Emilie Mazzacurati,Global Head of Climate Solutions,Moody's Corporation,"Berkeley, CA",USA,"Berkeley, CA, USA",https://www.linkedin.com/in/emazzacurati/,37.871523,-122.273042,Leader,Leader,Leader
287,McCarthy,Gina McCarthy,National Climate Advisor; Former President,White House Office of Domestic Climate Policy; NRDC,"Boston, MA",USA,"Boston, MA, USA",https://www.nrdc.org/experts/gina-mccarthy,42.360082,-71.05888,Leader,Leader,Leader
288,McDonald,Jane McDonald,Executive Vice President,International Institute for Sustainable Development,Winnipeg,Canada,"Winnipeg, Canada",https://www.linkedin.com/in/jane-mcdonald-75695a66/ ,49.895136,-97.138374,Leader,Leader,Leader
289,McDonough,William McDonough,"Architect, Designer and Author","McDonough Innovation, William McDonough + Partners","Charlottesville, VA",USA,"Charlottesville, VA, USA",https://www.linkedin.com/in/william-mcdonough/,38.029306,-78.476678,Leader,Leader,Leader
290,McIntyre,Don McIntyre,Managing Director and Chief Executive Officer,Impact Metrics,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/donmcintyre/,38.907192,-77.036871,Leader,Leader,Leader
291,McKibben,Bill McKibben,Author; Co-Founder,350.org,"Middlebury, VT",USA,"Middlebury, VT, USA",https://www.linkedin.com/in/bill-mckibben-6174131b7/,44.015337,-73.16734,Leader,Leader,Leader
292,McLaughlin,Kathleen McLaughlin,Chief Sustainability Officer,Walmart,"Bentonville, AR",USA,"Bentonville, AR, USA",https://www.linkedin.com/in/kathleenforgood/,36.372854,-94.208817,Leader,Leader,Leader
293,Mcunu,Ndoni Mcunu,Bilateral Engagement Lead,SouthSouthNorth,Johannesburg,South Africa,"Johannesburg, South Africa",https://www.linkedin.com/in/ndoni-mcunu-015bb68b/?originalSubdomain=za,-26.204103,28.047305,Leader,Leader,Leader
294,Meezan,Erin Meezan,VP and Chief Sustainability Officer,Interface,"Atlanta, GA",USA,"Atlanta, GA, USA",https://www.linkedin.com/in/erinmeezan/,33.748995,-84.387982,Leader,Leader,Leader
295,Mena,Marcelo Mena,"Former Environment Minister, Director","Climate Action Center at Pontificia Universidad Católica de Valparaíso, Chile Office of the Global Center on Adaptation",Santiago,Chile,"Santiago, Chile",https://www.linkedin.com/in/marcelo-mena-87a02914/?originalSubdomain=cl,-33.44889,-70.669266,Leader,Leader,Leader
296,Mendiluce,María Mendiluce,Chief Executive Officer,We Mean Business Coalition,Geneva,Switzerland,"Geneva, Switzerland",https://www.linkedin.com/in/mariamendiluce/,46.204391,6.143158,Leader,Leader,Leader
297,Merkel,Angela Merkel,Chancellor,Federal Republic of Germany,Berlin,Germany,"Berlin, Germany",https://www.bundeskanzlerin.de/bkin-en/angela-merkel/biography,52.520007,13.404954,Leader,Leader,Leader
298,Merkl,Andreas Merkl,Former President,Ocean Conservancy,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/andreas-merkl-75449377/ ,38.907192,-77.036871,Leader,Leader,Leader
299,Meza Murillo,Andrea Meza Murillo,Minister of Environment and Energy ,Government of Costa Rica,San Jose,Costa Rica,"San Jose, Costa Rica",https://www.linkedin.com/in/andrea-meza-a9730875/?originalSubdomain=cr,37.338208,-121.886329,Leader,Leader,Leader
300,Miller,Christopher Miller,Activism Manager; Former Director of Sustainability,Ben and Jerry's; Seventh Generation,"Burlington, VA",USA,"Burlington, VA, USA",https://www.linkedin.com/in/christopher-miller-6bb5b215/,44.475882,-73.212072,Leader,Leader,Leader
301,Miner,Kimberly Miner,Earth and Climate Scientist,NASA,"Los Angeles, CA",USA,"Los Angeles, CA, USA",https://www.linkedin.com/in/drkimberleyminer/,34.052234,-118.243685,Leader,Leader,Leader
302,Moghadam,Hamid Moghadam,Chairman & Chief Executive Officer,Prologis,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/hamid-moghadam-936026178/,37.77493,-122.419416,Leader,Leader,Leader
303,Moniz,Ernest Moniz,Former Secretary of Energy,US Department of Energy,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/ernestmoniz/ ,38.907192,-77.036871,Leader,Leader,Leader
304,Morlet,Andrew Morlet,Chief Executive Officer,Ellen MacArthur Foundation,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/amorlet/,51.507218,-0.127586,Leader,Leader,Leader
305,Morningstar,Richard Morningstar,"Founding Chairman, Board Director","Global Energy Center, Atlantic Council","Washington, DC",USA,"Washington, DC, USA",https://www.albrightstonebridge.com/team/richard-morningstar,38.907192,-77.036871,Leader,Leader,Leader
306,Morris,Jennifer Morris,Chief Executive Officer; Former President,The Nature Conservancy; Conservation International,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/jennifer-morris-934a426/ ,38.907192,-77.036871,Leader,Leader,Leader
307,Moses,Rebekah Moses,Director of Impact Strategy,Impossible Foods,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/rebekahmoses/,37.77493,-122.419416,Leader,Leader,Leader
308,Mountbatten-Windsor,"HRH The Duke of Cambridge, William Mountbatten-Windsor",Founder,Earthshot Prize,London,United Kingdom,"London, United Kingdom",https://twitter.com/KensingtonRoyal?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,51.507218,-0.127586,Leader,Leader,Leader
309,Muhoza,Rosette Muhoza,Co-founder,My Green Home,Kigali,Rwanda,"Kigali, Rwanda",http://mygreenhome.rw/,-1.944073,30.061885,Leader,Leader,Leader
310,Mumba,Musonda Mumba,Director,United Nations Environment Programme (UNEP),Nairobi,Kenya,"Nairobi, Kenya",https://www.linkedin.com/in/dr-musonda-mumba-aa09611/ ,-1.292066,36.821946,Leader,Leader,Leader
311,Mumgaard,Bob Mumgaard,Chief Executive Officer,Commonwealth Fusion Systems,"Boston, MA",USA,"Boston, MA, USA",https://www.linkedin.com/in/mumgaard/,42.360082,-71.05888,Leader,Leader,Leader
312,Muniri,Alhassan Baba Muniri,Co-Founder,Recycle Up! Ghana,Berlin,Germany,"Berlin, Germany",https://www.linkedin.com/in/alhassan-baba-muniru-46b55828/,52.520007,13.404954,Leader,Leader,Leader
313,Muñoz,Gonzalo Muñoz,High Level Climate Action Champion,COP25,Santiago,Chile,"Santiago, Chile",https://www.linkedin.com/in/gonzalomunozabogabir/ ,-33.44889,-70.669266,Leader,Leader,Leader
314,Muqeet,Abdul Muqeet,Activist (The Paper Bag Boy),,Abu Dhabi,UAE,"Abu Dhabi, UAE",https://www.instagram.com/thepaperbagboy/,24.453884,54.377344,Leader,Leader,Leader
315,Mutiso,Rose Mutiso,Research Director ,Enegy for Growth,Nairobi,Kenya,"Nairobi, Kenya",https://www.linkedin.com/in/rosemutiso/?originalSubdomain=ke,-1.292066,36.821946,Leader,Leader,Leader
316,Nakate,Vanessa Nakate,Founder,Rise Up Movement,Kampala,Uganda,"Kampala, Uganda",https://www.linkedin.com/in/vanessa-nakate-09156889/,0.347596,32.58252,Leader,Leader,Leader
317,Narain,Sunita Narain,Director General,Center for Science and Environment,Delhi,India,"Delhi, India",https://www.cseindia.org/page/sunita-narain,28.704059,77.10249,Leader,Leader,Leader
318,Nash,Brian Nash,Director of Sustainability,Ingredion Incorporated,"Indianapolis, IN",USA,"Indianapolis, IN, USA",https://www.linkedin.com/in/brian-nash-05a57842/,39.768403,-86.158068,Leader,Leader,Leader
319,Nath,Shloka Nath,Head of Sustainability and Special Projects,Tata Trusts,Mumbai,India,"Mumbai, India",https://www.linkedin.com/in/shlokanath/,19.075984,72.877656,Leader,Leader,Leader
320,Ndhlukula,Kudakwashe (Kuda) Ndhlukula,Executive Director,SADC Centre for Renewable Energy & Energy Efficiency (SACREEE),Harare,Zimbabwe,"Harare, Zimbabwe",https://www.linkedin.com/in/kudakwashe-kuda-ndhlukula-72420317/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAANpYEwBu-pEk5gVbZM9OOgYA2lhW00TG5M,-17.821629,31.049226,Leader,Leader,Leader
321,Neff,Sarah Neff,Senior Vice President of Sustainability,Kilroy Realty Corporation,"Los Angeles, CA",USA,"Los Angeles, CA, USA",https://www.linkedin.com/in/sara-neff-4490b214/,34.052234,-118.243685,Leader,Leader,Leader
322,Nelsen,Chad Nelsen,Chief Executive Officer,Surfrider Foundation,"Orange County, CA",USA,"Orange County, CA, USA",https://www.linkedin.com/in/chadnelsen/#:~:targetText=Chad%20Nelsen%20%2D%20Chief%20Executive%20Officer%20%2D%20Surfrider%20Foundation%20%7C%20LinkedIn ,33.717471,-117.831143,Leader,Leader,Leader
323,Neubauer,Luisa Neubauer,Climate Activist,,Berlin,Germany,"Berlin, Germany",https://twitter.com/luisamneubauer?lang=en,52.520007,13.404954,Leader,Leader,Leader
324,Nick,Alexander Nick,Head of Sustainability Strategy and Management,BMW,Munich,Germany,"Munich, Germany",https://www.linkedin.com/in/alnick/,48.135125,11.58198,Leader,Leader,Leader
325,Nilsson,Måns  Nilsson,Executive Director,SEI,Stockholm,Sweden,"Stockholm, Sweden",https://www.linkedin.com/in/m%C3%A5ns-nilsson-b330925/?originalSubdomain=se,59.329324,18.068581,Leader,Leader,Leader
326,Nindi,Stephen  Nindi,Director General,National Land Use Planning Commission,Dar Es Salaam,Tanzania,"Dar Es Salaam, Tanzania",https://www.linkedin.com/in/stephen-nindi-41125724/?originalSubdomain=tz,-6.792354,39.208328,Leader,Leader,Leader
327,Njiru,Wawira Njiru,Founder and Executive Director,Food for Education,Nairobi,Kenya,"Nairobi, Kenya",https://twitter.com/wawiranjiru?lang=en,-1.292066,36.821946,Leader,Leader,Leader
328,Nnoli-Edozien,Ndidi Nnoli-Edozien,Chair,Circular Economy Innovation Partnership,Abuja,Nigeria,"Abuja, Nigeria",https://www.linkedin.com/in/dr-ndidi-nnoli-edozien-798649141/,9.076478,7.398574,Leader,Leader,Leader
329,Nobre,Antonio Nobre,Researcher,National Institute of Amazonian Research,São José dos Campos,Brazil,"São José dos Campos, Brazil",https://twitter.com/buscandoverdade?lang=en,-23.21984,-45.891566,Leader,Leader,Leader
330,Nooyi,Indra Nooyi,Former Chairman and Chief Executive Officer,PepsiCo,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/indranooyi/,40.712775,-74.005973,Leader,Leader,Leader
331,O'Brien,Sean O'Brien,President and Chief Executive Officer,Nature Serve,"Arlington, VA",USA,"Arlington, VA, USA",https://www.linkedin.com/in/seanatnatureserve/,38.881621,-77.090981,Leader,Leader,Leader
332,O'Connor,Robert O'Connor,Partner,Wilson Sonsini Goodrich & Rosati,"Corte Madera, CA",USA,"Corte Madera, CA, USA",https://www.linkedin.com/in/robert-o-connor-bba68934/,37.925481,-122.527476,Leader,Leader,Leader
333,O'Mara,Collin O'Mara,President and Chief Executive Officer,National Wildlife Federation,"Reston, VA",USA,"Reston, VA, USA",https://www.linkedin.com/in/collin-o-mara-536ba76/,38.958631,-77.357003,Leader,Leader,Leader
334,O'Neill,Claire O'Neill,"Managing Director of Climate and Energy, Former President","World Business Council, COP series",London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/clairefordevizes/,51.507218,-0.127586,Leader,Leader,Leader
335,Ogunbiyi,Damilola Ogunbiyi,Chief Executive Officer and Special Representative; Co-Chair,UN SRSG for Sustainable Energy for All; UN-Energy,Vienna,Austria,"Vienna, Austria",https://www.linkedin.com/in/damilola-ogunbiyi/,48.208174,16.373819,Leader,Leader,Leader
336,Ojiambo,Sanda Ojiambo,Executive Director,United Nations Global Compact,Nairobi,Kenya,"Nairobi, Kenya",https://www.linkedin.com/in/sandaojiambo/ ,-1.292066,36.821946,Leader,Leader,Leader
337,Okonjo-Iweala,Ngozi Okonjo-Iweala,Director-General,World Trade Organization (WTO),Ogwashi Ukwu,Nigeria,"Ogwashi Ukwu, Nigeria",https://twitter.com/NOIweala?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,6.181614,6.53031,Leader,Leader,Leader
338,Okonkwo,Salma  Okonkwo,Chairwoman,UBI Group,Accra,Ghana,"Accra, Ghana",https://www.linkedin.com/in/salma-okonkwo-a5171b1aa/,5.603717,-0.186964,Leader,Leader,Leader
339,Okoroafor,Michael Okoroafor,VP of Global Sustainability and Packaging Innovation,McCormick & Company,"Hunt Valley, MD",USA,"Hunt Valley, MD, USA",https://www.linkedin.com/in/michael-okoroafor-ph-d-5a07b9a9/,39.490001,-76.658507,Leader,Leader,Leader
340,Ortega,Cindy Ortega,Founder and Chief Executive Officer,Blue Heron Strategies,"Las Vegas, NV",USA,"Las Vegas, NV, USA",https://www.linkedin.com/in/cindy-ortega-38642898/,36.169941,-115.13983,Leader,Leader,Leader
341,Otto,Michael Otto,Chairman of the Supervisory Board,The Otto Group,Hamburg,Germany,"Hamburg, Germany",https://www.clubofrome.org/member/otto-michael/,53.551085,9.993682,Leader,Leader,Leader
342,Ould-Dada,Zitouni Ould-Dada,"Deputy Director of Climate Change, Biodiversity, and Environment",Food and Agriculture Organization of the United States,Paris,France,"Paris, France",https://www.linkedin.com/in/zitouni-ould-dada-71170543/,48.856614,2.352222,Leader,Leader,Leader
343,Oxender,Monique Oxender,Chief Sustainability Officer,Keurig Dr. Pepper,"Burlington, MA",USA,"Burlington, MA, USA",https://www.linkedin.com/in/moniqueoxender/,42.504716,-71.19562,Leader,Leader,Leader
344,Ozturkeri,Goksenin Ozturkeri,Vice President,CohnReznick Capital,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/gozturkeri/,37.77493,-122.419416,Leader,Leader,Leader
345,Pagitsas,Chrissa Pagitsas,Former VP and Head of ESG,Fannie Mae,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/chrissa-pagitsas/,38.907192,-77.036871,Leader,Leader,Leader
346,Palmieri,Edward Palmieri,Director of Global Sustainability,Facebook,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/ejpalmieri/,38.907192,-77.036871,Leader,Leader,Leader
