idx,Last Name(s),company,Title (as a thought leader),notes,City/State,Country,city,website,lat,lng,tax1,tax2,tax3
154,Ghoneim,Rana Ghoneim,Chief of Energy Systems and Infrastructure Division,UNIDO,Vienna,Austria,"Vienna, Austria",https://www.linkedin.com/in/rana-ghoneim-1a5b4840/ ,48.208174,16.373819,Leader,Leader,Leader
155,Giradet,Herbert Giradet,Author; Co-Founder,World Future Council,Newport,United Kingdom,"Newport, United Kingdom",https://www.linkedin.com/in/herbert-girardet-a2853811/?originalSubdomain=uk,41.490102,-71.312828,Leader,Leader,Leader
156,Goldmann,Mattias Goldmann,Chief Sustainability Officer,Sweco,Stockholm,Sweden,"Stockholm, Sweden",https://www.linkedin.com/in/mattiasgoldmann/,59.329324,18.068581,Leader,Leader,Leader
157,Gonzalez,Luis Gonzalez,Director of Advocacy,Unidad Ecológica Salvadoreña,San Salvador,El Salvador,"San Salvador, El Salvador",https://twitter.com/unes_elsalvador?lang=en,13.69294,-89.218191,Leader,Leader,Leader
158,Gopal,Ajei Gopal,Chief Executive Officer,Ansys,"Pittsburgh, PA",USA,"Pittsburgh, PA, USA",https://www.linkedin.com/in/ajeigopal/,40.440625,-79.995886,Leader,Leader,Leader
159,Göpel,Maja Göpel,Director of Research,The New Institute,Berlin,Germany,"Berlin, Germany",https://twitter.com/beyond_ideology?lang=en,52.520007,13.404954,Leader,Leader,Leader
160,Gordon,Kate Gordon,Director,California Governor's Office of Planning and Research,"Berkeley, CA",USA,"Berkeley, CA, USA",https://www.linkedin.com/in/kategordonconsulting/,37.871523,-122.273042,Leader,Leader,Leader
161,Gore,Al Gore,Chairman,Generation Investment Management,"Nashville, TN",USA,"Nashville, TN, USA",https://www.algore.com/,36.162664,-86.781602,Leader,Leader,Leader
162,Goudreau,James Goudreau,Head of Climate,Novartis,"Boston, MA",USA,"Boston, MA, USA",https://www.linkedin.com/in/jamesgoudreau/,42.360082,-71.05888,Leader,Leader,Leader
163,Graber,Mauricio Graber,Chief Executive Officer,Chr. Hansen Holdings A/S,Copenhagen,Denmark,"Copenhagen, Denmark",https://www.linkedin.com/in/mauricio-graber/,55.676097,12.568337,Leader,Leader,Leader
164,Graves,Phil Graves,Chief Sustainability Officer: President,Bass Pro Shops; Johnny Morris Foundation,"Springfield, MS",USA,"Springfield, MS, USA",https://www.linkedin.com/in/phil-graves-1b993515/,37.208957,-93.292299,Leader,Leader,Leader
165,Gravitz,Alisa Gravitz,Chief Executive Officer,Green America,"Washington, DC",USA,"Washington, DC, USA",https://greenamerica.org/people/alisa-gravitz,38.907192,-77.036871,Leader,Leader,Leader
166,Grenier,Catherine Grenier,President and Chief Executive Officer,Nature Conservancy Canada,Quebec,Canada,"Quebec, Canada",https://www.linkedin.com/in/catherine-grenier-448278108/ ,46.813878,-71.207981,Leader,Leader,Leader
167,Groser,Tim Groser,Former Minister of Climate Change Issues ; Global Advisory Council,Government of New Zealand; TREELION Foundation,Wellington,New Zealand,"Wellington, New Zealand",https://www.linkedin.com/in/tim-groser-a35b9831/,-41.292381,174.778746,Leader,Leader,Leader
168,Grossman,Marianna Grossman,Founder and Managing Partner,Minerva Ventures,"Portland, OR",USA,"Portland, OR, USA",https://www.linkedin.com/in/mariannagrossman/,45.515232,-122.678385,Leader,Leader,Leader
169,Guajajara,Sônia Bone  Guajajara,Coordinator,Articulação dos Povos Indígenas do Brasil (APIB),São Luís,Brazil,"São Luís, Brazil",https://www.facebook.com/GuajajaraSonia/,-2.530672,-44.298895,Leader,Leader,Leader
170,Gudynas,Eduardo Gudynas,Director,Latin American Centre for Social Ecology,Montivideo,Uruguay,"Montivideo, Uruguay",https://greattransition.org/contributor/eduardo-gudynas,-34.901113,-56.164531,Leader,Leader,Leader
171,Guerra,Alexsandra Guerra,Co-Founder and Director of Corporate Development,Nori,"Seattle, WA",USA,"Seattle, WA, USA",https://www.linkedin.com/in/alexsandraguerra/,47.60621,-122.332071,Leader,Leader,Leader
172,Gupta,Ranjit  Gupta,Chief Executive Officer Azure power ,Azure power ,Delhi,India,"Delhi, India",https://www.linkedin.com/in/ranjit-gupta-98b351/,28.704059,77.10249,Leader,Leader,Leader
173,Gutiérrez,Juliana Gutiérrez,"Director, Co-Founder",Low Carbon City,Medellin,Colombia,"Medellin, Colombia",https://www.linkedin.com/in/julianagutierrezr/?originalSubdomain=co https://fellows.echoinggreen.org/fellow/juliana-gutierrez/,6.247638,-75.565815,Leader,Leader,Leader
174,Haass,Alexis Olans Haass,Chief Sustainability Officer,Arcadis,Munich,Germany,"Munich, Germany",https://www.linkedin.com/in/alexisolanshaass/?originalSubdomain=de,48.135125,11.58198,Leader,Leader,Leader
175,Halonen,Tarja Halonen,Former President of Finland (2000-2012),Republic of Finland,Helsinki,Finland,"Helsinki, Finland",https://twitter.com/TarjaHalonen?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,60.169856,24.938379,Leader,Leader,Leader
176,Halvorsen,Kristin Halvorsen,Director,Center for International Climate Research,Oslo,Norway,"Oslo, Norway",https://twitter.com/kristin_klima?lang=en,59.913869,10.752245,Leader,Leader,Leader
177,Hammond,Brendan Hammond,Project Director at Asian Renewable Energy Hub,Asian Renewable Energy Hub,Perth,Australia,"Perth, Australia",https://www.linkedin.com/in/brendanhammond1/?originalSubdomain=au,-31.952312,115.861309,Leader,Leader,Leader
178,Hampton,Kate Hampton,Chief Executive Officer,Children's Investment Fund Foundation (CIFF),London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/kate-hampton-932b3035/,51.507218,-0.127586,Leader,Leader,Leader
179,Hansen,James Hansen,"Adjunct Professor and Director of Climate Science, Awareness, and Solutions",Columbia University Earth Institute,"Palisades, NY",USA,"Palisades, NY, USA",https://www.earth.columbia.edu/users/profile/james-e-hansen,41.011308,-73.913293,Leader,Leader,Leader
180,Hart,Selwin Hart,Special Advisor and Assistant-Secretary General,Climate Action at United Nations,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/selwin-hart-852080136/ ,38.907192,-77.036871,Leader,Leader,Leader
181,Hausfather,Zeke Hausfather,Director of Climate and Energy,The Breakthrough Institute,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/zeke-hausfather-7327699/ ,37.77493,-122.419416,Leader,Leader,Leader
182,Hauter,Wenonah Hauter,Founder and Executive Director,Food and Water Watch,"Washington, DC",USA,"Washington, DC, USA",https://www.foodandwaterwatch.org/staff/board-of-directors/,38.907192,-77.036871,Leader,Leader,Leader
183,Hawken,Paul Hawken,Founder,"Project Drawdown, Project Regeneration","Sausalito, CA",USA,"Sausalito, CA, USA",http://www.paulhawken.com/,37.859094,-122.485251,Leader,Leader,Leader
184,Hayhoe,Katharine Hayhoe,Professor of Endowed Political Science and Director of Climate Center,Texas Tech University,"Lubbock, TX",USA,"Lubbock, TX, USA",https://www.linkedin.com/in/katharine-hayhoe/,33.577863,-101.855166,Leader,Leader,Leader
185,Hedegaard,Connie Hedegaard,Chair; Former EU Commissioner for Cliamte Action (2010-2014),Organisation for Economic Co-Operation and Development (OECD) Round Table on Sustainability Development,Copenhagen,Denmark,"Copenhagen, Denmark",https://conniehedegaard.com/,55.676097,12.568337,Leader,Leader,Leader
186,Heiny,Kate Heiny,Sustainability Director,Zalando SE,Brussels,Belgium,"Brussels, Belgium",https://www.linkedin.com/in/kateheiny/,50.847642,4.35717,Leader,Leader,Leader
187,Helias,Virginie Helias,Chief Sustainability Officer,Proctor and Gamble,Geneva,Switzerland,"Geneva, Switzerland",https://www.linkedin.com/in/virginiehelias/,46.204391,6.143158,Leader,Leader,Leader
188,Henriksen,Heather Henriksen,Chief Sustainability Officer,Harvard University,"Boston, MA",USA,"Boston, MA, USA",https://www.linkedin.com/in/heatherhenriksen/,42.360082,-71.05888,Leader,Leader,Leader
189,Henry,Don Henry,Enterprise Professor of Environmentalism at the Melbourne Sustainable Society Institute,University of Melbourne,Melbourne,Australia,"Melbourne, Australia",https://msd.unimelb.edu.au/about/our-people/academic/don-henry,-37.813628,144.963058,Leader,Leader,Leader
190,Hidayati,Nur Hidayati,Executive Director,Indonesian Forum for the Environment (Walhi),Jakarta,Indonesia,"Jakarta, Indonesia",https://www.linkedin.com/in/nur-hidayati-3048304a/,-6.208763,106.845599,Leader,Leader,Leader
191,Hirsi,Isra Hirsi,Cofounder and Co-Executive Director,US Youth Climate Strike,"Minneapolis, MN",USA,"Minneapolis, MN, USA",https://twitter.com/israhirsi?lang=en,44.977753,-93.265011,Leader,Leader,Leader
192,Hobley,Anthony Hobley,"Executive Director, Former Chief Executive Officer","Mission Possible Platform of World Economic Platform, Carbon Tracker Initiative",London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/anthony-hobley/,51.507218,-0.127586,Leader,Leader,Leader
193,Hochschild,David Hochschild,Chair,California Energy Commission,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/david-hochschild-1520106/,37.77493,-122.419416,Leader,Leader,Leader
194,Holmgren,Jennifer Holmgren,Chief Executive Officer,LanzaTech,"Skokie, IL",USA,"Skokie, IL, USA",https://www.linkedin.com/in/jennifer-holmgren-95b6201/,42.032402,-87.741625,Leader,Leader,Leader
195,Horton,Robert Horton,VP of Environmental Affairs and Sustainability,Dallas Fort Worth International Airport,"Irving, TX",USA,"Irving, TX, USA",https://www.linkedin.com/in/robert-horton/,32.814018,-96.948894,Leader,Leader,Leader
196,Horton,Daniele Horton,Founder and President,Verdani Partners,"San Diego, CA",USA,"San Diego, CA, USA",https://www.linkedin.com/in/danielehorton/,32.715738,-117.161084,Leader,Leader,Leader
197,Hsieh,Elaine Hsieh,Co-Founder,Third Derivative,"Oakland, CA",USA,"Oakland, CA, USA",https://www.linkedin.com/in/elaineishere/ ,37.804351,-122.271164,Leader,Leader,Leader
198,Hu,Kehua Hu,Director of Sustainability Stewardship,China National Textile and Apparel Council,Beijing,China,"Beijing, China",https://www.linkedin.com/in/kehua-hu-6936a43a/?originalSubdomain=cn,39.904211,116.407395,Leader,Leader,Leader
199,Huac,Vanessa Huac,Journalist; Co-Founder,Sachamama,"Miami, FL",USA,"Miami, FL, USA",https://twitter.com/vanessahauc?lang=en,25.76168,-80.19179,Leader,Leader,Leader
200,Hui,Yuming Hui,China Director,The Climate Group,Beijing,China,"Beijing, China",https://www.linkedin.com/in/yuming-hui-8066349/?originalSubdomain=cn,39.904211,116.407395,Leader,Leader,Leader
201,Hultman,Nathan Hultman,Founding Director of Center for Global Sustainability,University of Maryland,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/nathan-hultman-223647/ ,38.907192,-77.036871,Leader,Leader,Leader
