idx,First_Middle_Name,Last_Name,company,Title,notes,tax1,city,Country,Continent,website,"lat, lng",lat,lng,tax2,tax3
62,James,Ellsmoor,James Ellsmoor,Founder and CEO; Director,Island Innovation; Solar Head of State,For-Profit; Non-Profit,Lisbon,Portugal,Europe,https://www.linkedin.com/in/jellsmoor/,"38.7222524, -9.1393366",38.722252,-9.139337,Unknown,Unknown
63,Annette,Verschuren,Annette Verschuren,CEO and Chair; Co-Chair,NRStor Inc.; Smart Prosperity,For-Profit,Toronto,Canada,North America,https://www.linkedin.com/in/annette-verschuren-14659b52/,"43.653226, -79.3831843",43.653226,-79.383184,Unknown,Unknown
64,Carol-Ann,Brown,Carol-Ann Brown,President,The Delphi Group,For-Profit,Calgary,Canada,North America,https://www.linkedin.com/in/carol-ann-brown-37512923/?originalSubdomain=ca,"51.04473309999999, -114.0718831",51.044733,-114.071883,Unknown,Unknown
65,Ion,Yadigaroglu,Ion Yadigaroglu,Co-Founder and Partner,Capricorn Investment Group,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/ion-yadigaroglu-6042b0/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
66,Giana,Amador,Giana Amador,Founder and Policy Director,Carbon 180,Non-Profit,"Oakland, CA",USA,North America,https://www.linkedin.com/in/gianaamador/,"37.8043514, -122.2711639",37.804351,-122.271164,Unknown,Unknown
67,Joseph,DeSimone,Joseph DeSimone,Exec. Chairman and Co-founder,Carbon3d,For-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/josephdesimone1/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
68,Mindy,Lubber,Mindy Lubber,President and Chief Executive Officer,Ceres,Non-Profit,"Boston, MA",USA,North America,https://www.linkedin.com/in/mindy-lubber-b113962/ ,"42.3600825, -71.0588801",42.360082,-71.05888,Unknown,Unknown
69,Dominique Nils,Conseil,Dominique Nils Conseil,Director of Board; Founder and Former CEO,Ceres; Sustainable Results,For-Profit,"Minneapolis, MN",USA,North America,https://www.linkedin.com/in/dominique-nils-conseil/,"44.977753, -93.2650108",44.977753,-93.265011,Unknown,Unknown
70,Christopher,Bodkin,Christopher Bodkin,Co-Founder and CEO,Circular Blu LLC.,For-Profit,"Boston, MA",USA,North America,https://www.linkedin.com/in/christopher-bodkin-a6512046/,"42.3600825, -71.0588801",42.360082,-71.05888,Unknown,Unknown
71,Andrew,Smith,Andrew Smith,"Sr. Manager, Global Energy Management and Sustainability",Cisco,For-Profit,"Boulder, CO",USA,North America,https://www.linkedin.com/in/andrew-smith-94ba585/,"40.0149856, -105.2705456",40.014986,-105.270546,Unknown,Unknown
